GCF_000005825.2	Bacillus pseudofirmus OF4 (firmicutes)
GCF_001483865.1	Roseateles depolymerans (b-proteobacteria)
GCF_001483965.1	Carnobacterium sp. CP1 (firmicutes)
GCF_001484065.1	Pannonibacter phragmitetus (a-proteobacteria)
GCF_001484605.1	Pseudarthrobacter sulfonivorans (high GC Gram+)
GCF_001484935.1	Acinetobacter johnsonii XBB1 (g-proteobacteria)
GCF_001488575.1	Halobacterium hubeiense (euryarchaeotes)
GCF_001499615.1	Acetobacter senegalensis (a-proteobacteria)
GCF_001499655.1	Candidatus Protochlamydia naegleriophila (bacteria)
GCF_001507665.1	Deinococcus actinosclerus (bacteria)
GCF_001511815.1	Streptomyces reticuli (high GC Gram+)
GCF_001514435.1	Streptococcus thermophilus (firmicutes)
GCF_001514455.1	Serratia fonticola (enterobacteria)
GCF_001518815.1	Pseudomonas oryzihabitans (g-proteobacteria)
GCF_001542565.1	Arthrobacter sp. ATCC 21022 (high GC Gram+)
GCF_001543175.1	Aerococcus urinae (firmicutes)
GCF_001543265.1	Pseudomonas fragi (g-proteobacteria)
GCF_001543285.1	Aerococcus viridans (firmicutes)
GCF_001547975.1	Mycoplasma arginini (mycoplasmas)
GCF_001547995.1	Asaia bogorensis NBRC 16594 (a-proteobacteria)
GCF_001548015.1	Methylobacterium aquaticum (a-proteobacteria)
GCF_001548055.1	Sulfurospirillum cavolei (e-proteobacteria)
GCF_001548075.1	Rhodovulum sulfidophilum (a-proteobacteria)
GCF_001553195.1	Mycoplasma canis PG 14 (mycoplasmas)
GCF_001553605.1	Desulfovibrio fairfieldensis (d-proteobacteria)
GCF_001553935.1	Actinomyces oris (high GC Gram+)
GCF_001553955.1	Moraxella osloensis (g-proteobacteria)
GCF_001558255.1	Grimontia hollisae (g-proteobacteria)
GCF_001558415.1	Vibrio fluvialis (g-proteobacteria)
GCF_001558935.1	Citrobacter amalonaticus (enterobacteria)
GCF_001559115.1	Staphylococcus simulans (firmicutes)
GCF_001562115.1	Alteromonas stellipolaris (g-proteobacteria)
GCF_001572725.1	Serratia rubidaea (enterobacteria)
GCF_001578105.1	Martelella sp. AD-3 (a-proteobacteria)
GCF_001578185.1	Peribacillus simplex (firmicutes)
GCF_001578205.1	Bacillus pumilus (firmicutes)
GCF_001583415.1	Mycolicibacterium phlei (high GC Gram+)
GCF_001584185.1	Collimonas pratensis (b-proteobacteria)
GCF_001586165.1	Obesumbacterium proteus (enterobacteria)
GCF_001586195.1	Solibacillus silvestris (firmicutes)
GCF_001586215.1	Corynebacterium simulans (high GC Gram+)
GCF_001586255.1	Zhongshania aliphaticivorans (g-proteobacteria)
GCF_001593245.1	Aeromonas veronii (g-proteobacteria)
GCF_001594265.1	Aggregatibacter actinomycetemcomitans (g-proteobacteria)
GCF_001597285.1	Pseudomonas alcaligenes (g-proteobacteria)
GCF_001605965.1	Pseudomonas koreensis (g-proteobacteria)
GCF_001606005.1	Brevibacterium linens (high GC Gram+)
GCF_001606025.1	Psychrobacter alimentarius (g-proteobacteria)
GCF_001610955.1	Geobacillus thermoleovorans (firmicutes)
GCF_001610975.1	Sphingopyxis terrae subsp. terrae NBRC 15098 (a-proteobacteria)
GCF_001611135.1	Pediococcus damnosus (firmicutes)
GCF_001618685.1	Geobacillus subterraneus (firmicutes)
GCF_001618885.1	Staphylococcus condimenti (firmicutes)
GCF_001620305.1	Rhodococcus fascians D188 (high GC Gram+)
GCF_001636015.1	Moraxella ovis (g-proteobacteria)
GCF_001641285.1	Dyella thiooxydans (g-proteobacteria)
GCF_001642655.1	Clostridium tyrobutyricum (firmicutes)
GCF_001644565.1	Deinococcus puniceus (bacteria)
GCF_001648175.1	Halotalea alkalilenta (g-proteobacteria)
GCF_001652465.1	Microbacterium chocolatum (high GC Gram+)
GCF_001652485.1	Ochrobactrum pseudogrignonense (a-proteobacteria)
GCF_001652565.1	Shinella sp. HZN7 (a-proteobacteria)
GCF_001653755.1	Dokdonia donghaensis DSW-1 (CFB group bacteria)
GCF_001655245.1	Mycolicibacterium vaccae 95051 (high GC Gram+)
GCF_001660045.1	Streptomyces parvulus (high GC Gram+)
GCF_001676765.1	Mesorhizobium loti NZP2037 (a-proteobacteria)
GCF_001676785.2	Brachyspira hyodysenteriae ATCC 27164 (bacteria)
GCF_001677275.1	Vibrio breoganii (g-proteobacteria)
GCF_001682385.1	Azoarcus olearius (b-proteobacteria)
GCF_001685435.2	Salimicrobium jeotgali (firmicutes)
GCF_001685465.1	Vibrio scophthalmi (g-proteobacteria)
GCF_001686985.1	Mesorhizobium amorphae CCNWGS0123 (a-proteobacteria)
GCF_001687565.2	Planococcus antarcticus DSM 14505 (firmicutes)
GCF_001688625.1	Flavonifractor plautii (firmicutes)
GCF_001688625.2	Flavonifractor plautii (firmicutes)
GCF_001693385.1	Bradyrhizobium icense (a-proteobacteria)
GCF_001693675.1	Streptomyces clavuligerus (high GC Gram+)
GCF_001698145.1	Leuconostoc lactis (firmicutes)
GCF_001698225.1	Gordonia terrae (high GC Gram+)
GCF_001700965.1	Stenotrophomonas nitritireducens (g-proteobacteria)
GCF_001702135.1	Fructilactobacillus lindneri (firmicutes)
GCF_001702175.1	Secundilactobacillus paracollinoides (firmicutes)
GCF_001705175.1	Flavobacterium anhuiense (CFB group bacteria)
GCF_001705565.1	Xanthomonas fragariae (g-proteobacteria)
GCF_001708485.1	Pseudomonas lurida (g-proteobacteria)
GCF_001709315.1	Pantoea agglomerans (enterobacteria)
GCF_001719165.1	Erythrobacter litoralis (a-proteobacteria)
GCF_001729485.1	Streptomyces lydicus (high GC Gram+)
GCF_001729525.1	Brevibacterium aurantiacum (high GC Gram+)
GCF_001750165.1	Pseudoalteromonas luteoviolacea (g-proteobacteria)
GCF_001750785.1	Streptomyces rubrolavendulae (high GC Gram+)
GCF_001767275.1	Pediococcus acidilactici (firmicutes)
GCF_001787335.1	Kozakia baliensis (a-proteobacteria)
GCF_001854245.1	Desulfococcus multivorans (d-proteobacteria)
GCF_001865855.1	Nocardia seriolae (high GC Gram+)
GCF_001878675.1	Virgibacillus halodenitrificans (firmicutes)
GCF_001880325.1	Thermus brockianus (bacteria)
GCF_001886695.1	Aurantiacibacter gangjinensis (a-proteobacteria)
GCF_001886815.1	Caldithrix abyssi DSM 13497 (bacteria)
GCF_001887285.1	Microbacterium paludicola (high GC Gram+)
GCF_001887595.1	Luteibacter rhizovicinus DSM 16549 (g-proteobacteria)
GCF_001889105.1	Sinorhizobium americanum (a-proteobacteria)
GCF_001902315.1	Staphylococcus succinus (firmicutes)
GCF_001908275.1	Paenibacillus xylanexedens (firmicutes)
GCF_001908775.1	Xanthomonas hortorum pv. gardneri (g-proteobacteria)
GCF_001922025.1	Lentilactobacillus parabuchneri (firmicutes)
GCF_001922545.1	Borreliella garinii (spirochetes)
GCF_001936235.1	Lactobacillus jensenii (firmicutes)
GCF_001941345.1	Corynebacterium stationis (high GC Gram+)
GCF_001941805.1	Acinetobacter junii (g-proteobacteria)
GCF_001941825.1	Massilia putida (b-proteobacteria)
GCF_001941945.1	Roseomonas gilardii (a-proteobacteria)
GCF_001951175.1	Companilactobacillus crustorum (firmicutes)
GCF_001953195.1	Acinetobacter soli (g-proteobacteria)
GCF_001955715.1	Rhodoferax saidenbachensis (b-proteobacteria)
GCF_002073715.2	Neisseria mucosa (b-proteobacteria)
GCF_002075285.2	Halomicronema hongdechloris C2206 (cyanobacteria)
GCF_002211765.1	Idiomarina piscisalsi (g-proteobacteria)
GCF_002211785.1	Francisella halioticida (g-proteobacteria)
GCF_002214645.1	Diaphorobacter polyhydroxybutyrativorans (b-proteobacteria)
GCF_002215215.1	Granulosicoccus antarcticus IMCC3135 (g-proteobacteria)
GCF_002222615.2	Bacteroides caccae (CFB group bacteria)
GCF_002222635.1	Sulfitobacter pseudonitzschiae (a-proteobacteria)
GCF_002234495.1	Arenibacter algicola (CFB group bacteria)
GCF_002240355.1	Prauserella marina (high GC Gram+)
GCF_900011245.1	Bradyrhizobium sp. (a-proteobacteria)
GCF_900078695.1	Bordetella trematum (b-proteobacteria)
GCF_900086555.1	Neisseria weaveri (b-proteobacteria)
GCF_900087055.1	Plesiomonas shigelloides (enterobacteria)
GCF_900093775.1	Bacillus glycinifermentans (firmicutes)
GCF_900116045.1	Desulfovibrio piger (d-proteobacteria)
